[0.29319,3.7]
[0.29508,3.69811]
[0.2976,3.69559]
[0.29949,3.6937]
[0.3102,3.68299]
[0.31209,3.6811]
[0.31461,3.67858]
[0.3165,3.67669]
[0.34989,3.6433]
[0.35178,3.64141]
[0.3543,3.63889]
[0.35619,3.637]
[0.3669,3.62629]
[0.36879,3.6244]
[0.37131,3.62188]
[0.3732,3.61999]
[0.39399,3.5992]
[0.39588,3.59731]
[0.3984,3.59479]
[0.40029,3.5929]
[0.40659,3.5866]
[0.40848,3.58471]
[0.411,3.58219]
[0.41289,3.5803]
[0.41541,3.57778]
[0.4173,3.57589]
[0.4236,3.56959]
[0.42549,3.5677]
[0.42801,3.56518]
[0.4299,3.56329]
[0.45069,3.5425]
[0.45258,3.54061]
[0.4551,3.53809]
[0.45699,3.5362]
[0.4677,3.52549]
[0.46959,3.5236]
[0.47211,3.52108]
[0.474,3.51919]
[1.02219,2.971]
[1.02408,2.96911]
[1.0266,2.96659]
[1.02849,2.9647]
[1.0392,2.95399]
[1.04109,2.9521]
[1.04361,2.94958]
[1.0455,2.94769]
[1.07889,2.9143]
[1.08078,2.91241]
[1.0833,2.90989]
[1.08519,2.908]
[1.0959,2.89729]
[1.09779,2.8954]
[1.10031,2.89288]
[1.1022,2.89099]
[1.10409,2.8837]
[1.1148,2.87299]
[1.11669,2.8711]
[1.12299,2.8702]
[1.12488,2.86831]
[1.1274,2.86579]
[1.12929,2.8639]
[1.13559,2.8576]
[1.13748,2.85571]
[1.14,2.85319]
[1.14189,2.8513]
[1.14441,2.84878]
[1.1463,2.84689]
[1.1526,2.84059]
[1.15449,2.8387]
[1.15701,2.83618]
[1.1589,2.83429]
[1.16079,2.827]
[1.1715,2.81629]
[1.17339,2.8144]
[1.17969,2.8135]
[1.18158,2.81161]
[1.1841,2.80909]
[1.18599,2.8072]
[1.1967,2.79649]
[1.19859,2.7946]
[1.20111,2.79208]
[1.203,2.79019]
[1.20489,2.7829]
[1.2156,2.77219]
[1.21749,2.7703]
[1.22001,2.76778]
[1.2219,2.76589]
[1.22967,2.7559]
[1.23534,2.75023]
[1.2366,2.74897]
[1.24227,2.7433]
[1.2429,2.74267]
[1.24857,2.737]
[1.24983,2.73574]
[1.2555,2.73007]
[1.26789,2.7199]
[1.26978,2.71801]
[1.2723,2.71549]
[1.27419,2.7136]
[1.2807,2.70487]
[1.2849,2.70289]
[1.28679,2.701]
[1.28931,2.69848]
[1.2912,2.69659]
[1.29393,2.69164]
[1.2996,2.68597]
[1.32459,2.6632]
[1.32648,2.66131]
[1.329,2.65879]
[1.33089,2.6569]
[1.3416,2.64619]
[1.34349,2.6443]
[1.34601,2.64178]
[1.3479,2.63989]
[1.35567,2.6299]
[1.36134,2.62423]
[1.36869,2.6191]
[1.37058,2.61721]
[1.3731,2.61469]
[1.37499,2.6128]
[1.3857,2.60209]
[1.38759,2.6002]
